"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp4-Funciones"
"11/30/2025 10:58:16:429 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","49","-50","49"
"[run number]","funcion-objetivo","poblacion","paso-C","Nc","Ns","Nre","Ped","tamano-mundo","max-ticks","usar-swarming?","usar-obstaculos?","usar-nutrientes-agotables?","tipo-frontera","densidad-obstaculos","tamano-obstaculos","tasa-consumo","tasa-regeneracion","d-attract","w-attract","h-repellant","w-repellant","[step]","mejor-fitness","fitness-promedio","mejor-posicion-x","mejor-posicion-y"
"6","Himmelblau","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","1.5147880000000016","30.034851746013693","20.301527476956647"
"1","Sphere","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.10879999999999997","-0.2762942128822101","-0.3037420808240168"
"5","Himmelblau","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","2.195228","30.48685164811288","19.543671498808372"
"2","Sphere","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.06039999999999998","-0.2307092542261422","0.24128556420450142"
"8","Ackley","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","8.881784197001252E-16","1.565072000241521","0.09451050352965784","-0.305837264729842"
"3","Sphere","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","0.036000000000000025","-0.45475332896468756","-0.20226315763068115"
"4","Himmelblau","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0.16210000000000038","2.282088","30.308681121170995","18.56663579681071"
"10","Rastrigin","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","1.9198300562505288","7.195796067500632","0.9769363760382043","0.2740396283269888"
"11","Rastrigin","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","1.9198300562505288","11.554664045000418","1.3134011397517755","0.2651672067096875"
"9","Ackley","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","8.881784197001252E-16","1.3943270230706557","-0.08994605957356994","0.2097766177399386"
"12","Rastrigin","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","0","9.159416460750572","-0.19124803047787786","0.30370824067884117"
"7","Ackley","50","1","20","4","4","0.25","100","1000","false","false","false","No Periódica","5","2","10","0.1","0.1","0.2","0.1","10","1000","8.881784197001252E-16","1.250489401448739","0.13974282641541658","-0.36698226847883586"
