"BehaviorSpace results (NetLogo 6.2.0)"
"BFO.nlogo"
"Exp6-Obstaculos"
"11/30/2025 11:02:55:543 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","49","-50","49"
"[run number]","usar-obstaculos?","densidad-obstaculos","tamano-obstaculos","poblacion","funcion-objetivo","paso-C","Nc","Ns","Nre","Ped","tamano-mundo","max-ticks","usar-swarming?","usar-nutrientes-agotables?","tipo-frontera","tasa-consumo","tasa-regeneracion","d-attract","w-attract","h-repellant","w-repellant","[step]","mejor-fitness","fitness-promedio"
"2","true","0","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.0588"
"12","true","15","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.06199999999999999"
"3","true","0","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.05520000000000001"
"10","true","15","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.06399999999999999"
"11","true","15","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0.010000000000000002","0.06999999999999998"
"1","true","0","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.07079999999999999"
"6","true","5","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.051199999999999975"
"8","true","10","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.04880000000000002"
"9","true","10","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.046400000000000004"
"5","true","5","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.04000000000000001"
"4","true","5","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.05839999999999997"
"7","true","10","2","50","Sphere","1","20","4","4","0.25","100","1000","false","false","No Periódica","10","0.1","0.1","0.2","0.1","10","1000","0","0.040000000000000015"
