"BehaviorSpace results (NetLogo 6.2.0)"
"tmpSIR.nlogo"
"Analisis_DS_vs_Emax"
"11/21/2025 20:41:29:849 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","densidad-pob","wiggle","probabilidad-contagio","tiempo-enfermedad","distanciamiento-social","infectados-iniciales","[step]","pico-maximo","tiempo-pico","ticks"
"8","60","150","0.8","25","0","5","58","5506","27","58"
"6","60","150","0.8","25","0","5","61","5360","27","61"
"4","60","150","0.8","25","0","5","57","5579","25","57"
"5","60","150","0.8","25","0","5","54","5871","25","54"
"7","60","150","0.8","25","0","5","57","5517","27","57"
"11","60","150","0.8","25","5","5","57","5567","27","57"
"2","60","150","0.8","25","0","5","55","5774","26","55"
"15","60","150","0.8","25","5","5","57","5697","27","57"
"9","60","150","0.8","25","0","5","58","5686","26","58"
"1","60","150","0.8","25","0","5","60","5599","26","60"
"3","60","150","0.8","25","0","5","64","4759","31","64"
"16","60","150","0.8","25","5","5","65","5026","27","65"
"14","60","150","0.8","25","5","5","61","5168","27","61"
"10","60","150","0.8","25","0","5","60","5438","27","60"
"13","60","150","0.8","25","5","5","64","4902","30","64"
"12","60","150","0.8","25","5","5","63","5487","27","63"
"17","60","150","0.8","25","5","5","57","5758","26","57"
"19","60","150","0.8","25","5","5","64","5243","27","64"
"21","60","150","0.8","25","10","5","64","5405","27","64"
"18","60","150","0.8","25","5","5","58","5552","26","58"
"23","60","150","0.8","25","10","5","58","5688","26","58"
"25","60","150","0.8","25","10","5","65","4349","30","65"
"22","60","150","0.8","25","10","5","59","5507","27","59"
"20","60","150","0.8","25","5","5","58","5483","26","58"
"26","60","150","0.8","25","10","5","64","5092","30","64"
"27","60","150","0.8","25","10","5","60","5306","29","60"
"24","60","150","0.8","25","10","5","64","4669","29","64"
"28","60","150","0.8","25","10","5","60","5497","27","60"
"30","60","150","0.8","25","10","5","64","5174","28","64"
"29","60","150","0.8","25","10","5","63","5194","28","63"
"32","60","150","0.8","25","15","5","67","4715","31","67"
"31","60","150","0.8","25","15","5","65","5160","29","65"
"36","60","150","0.8","25","15","5","53","5826","25","53"
"35","60","150","0.8","25","15","5","54","5842","25","54"
"38","60","150","0.8","25","15","5","53","5893","25","53"
"34","60","150","0.8","25","15","5","63","5129","28","63"
"33","60","150","0.8","25","15","5","64","4822","29","64"
"37","60","150","0.8","25","15","5","66","4898","29","66"
"41","60","150","0.8","25","20","5","61","5215","28","61"
"42","60","150","0.8","25","20","5","60","5503","26","60"
"39","60","150","0.8","25","15","5","62","5094","28","62"
"43","60","150","0.8","25","20","5","63","4729","28","63"
"40","60","150","0.8","25","15","5","64","4645","30","64"
"44","60","150","0.8","25","20","5","63","5273","29","63"
"45","60","150","0.8","25","20","5","66","4911","29","66"
"46","60","150","0.8","25","20","5","60","5175","29","60"
"47","60","150","0.8","25","20","5","67","4627","31","67"
"48","60","150","0.8","25","20","5","64","4909","29","64"
"49","60","150","0.8","25","20","5","58","5601","27","58"
"50","60","150","0.8","25","20","5","60","5117","30","60"
"51","60","150","0.8","25","25","5","61","5293","29","61"
"52","60","150","0.8","25","25","5","63","5023","31","63"
"53","60","150","0.8","25","25","5","63","5172","30","63"
"56","60","150","0.8","25","25","5","63","5130","28","63"
"54","60","150","0.8","25","25","5","70","4591","28","70"
"55","60","150","0.8","25","25","5","63","5087","29","63"
"57","60","150","0.8","25","25","5","59","5239","28","59"
"61","60","150","0.8","25","30","5","56","5675","27","56"
"58","60","150","0.8","25","25","5","61","5353","27","61"
"59","60","150","0.8","25","25","5","66","4682","33","66"
"60","60","150","0.8","25","25","5","58","5548","27","58"
"63","60","150","0.8","25","30","5","60","5275","30","60"
"62","60","150","0.8","25","30","5","63","5209","28","63"
"64","60","150","0.8","25","30","5","68","4804","28","68"
