"BehaviorSpace results (NetLogo 6.2.0)"
"tmpSIR.nlogo"
"Analisis_DS_Mapa"
"11/22/2025 13:24:24:996 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-300","300","-300","300"
"[run number]","usar-mapa?","poblacion-mapa","wiggle","probabilidad-contagio","tiempo-enfermedad","distanciamiento-social","infectados-iniciales","[step]","pico-maximo","tiempo-pico","ticks"
"2","true","200","15","0.8","25","0","5","88","45","23","88"
"1","true","200","15","0.8","25","0","5","91","78","23","91"
"3","true","200","15","0.8","25","0","5","158","79","23","158"
"4","true","200","15","0.8","25","0","5","181","30","40","181"
"6","true","200","15","0.8","25","0","5","93","41","23","93"
"5","true","200","15","0.8","25","0","5","191","38","23","191"
"8","true","200","15","0.8","25","0","5","96","67","23","96"
"7","true","200","15","0.8","25","0","5","142","52","23","142"
"10","true","200","15","0.8","25","0","5","87","54","19","87"
"9","true","200","15","0.8","25","0","5","200","49","23","200"
"12","true","200","15","0.8","25","5","5","68","54","23","68"
"11","true","200","15","0.8","25","5","5","110","48","23","110"
"13","true","200","15","0.8","25","5","5","79","35","21","79"
"14","true","200","15","0.8","25","5","5","76","42","23","76"
"16","true","200","15","0.8","25","5","5","92","43","23","92"
"15","true","200","15","0.8","25","5","5","184","83","23","184"
"17","true","200","15","0.8","25","5","5","110","45","23","110"
"18","true","200","15","0.8","25","5","5","118","74","23","118"
"19","true","200","15","0.8","25","5","5","107","46","20","107"
"21","true","200","15","0.8","25","10","5","48","28","23","48"
"20","true","200","15","0.8","25","5","5","128","31","23","128"
"22","true","200","15","0.8","25","10","5","103","51","34","103"
"23","true","200","15","0.8","25","10","5","164","36","27","164"
"25","true","200","15","0.8","25","10","5","154","40","23","154"
"26","true","200","15","0.8","25","10","5","79","41","30","79"
"24","true","200","15","0.8","25","10","5","256","40","23","256"
"27","true","200","15","0.8","25","10","5","73","23","23","73"
"28","true","200","15","0.8","25","10","5","76","59","20","76"
"30","true","200","15","0.8","25","10","5","50","57","23","50"
"29","true","200","15","0.8","25","10","5","89","46","23","89"
"31","true","200","15","0.8","25","15","5","50","24","20","50"
"33","true","200","15","0.8","25","15","5","55","33","22","55"
"32","true","200","15","0.8","25","15","5","103","48","23","103"
"34","true","200","15","0.8","25","15","5","130","55","23","130"
"35","true","200","15","0.8","25","15","5","94","27","18","94"
"36","true","200","15","0.8","25","15","5","130","36","23","130"
"39","true","200","15","0.8","25","15","5","66","43","22","66"
"37","true","200","15","0.8","25","15","5","155","26","114","155"
"38","true","200","15","0.8","25","15","5","120","44","23","120"
"40","true","200","15","0.8","25","15","5","101","31","45","101"
"43","true","200","15","0.8","25","20","5","46","24","21","46"
"41","true","200","15","0.8","25","20","5","78","28","20","78"
"42","true","200","15","0.8","25","20","5","161","46","22","161"
"44","true","200","15","0.8","25","20","5","86","46","23","86"
"45","true","200","15","0.8","25","20","5","98","68","23","98"
"46","true","200","15","0.8","25","20","5","111","36","23","111"
"47","true","200","15","0.8","25","20","5","65","71","23","65"
"48","true","200","15","0.8","25","20","5","89","64","23","89"
"49","true","200","15","0.8","25","20","5","98","48","23","98"
"50","true","200","15","0.8","25","20","5","98","61","23","98"
