"BehaviorSpace results (NetLogo 6.2.0)"
"tmpSIR.nlogo"
"Analisis_DS_vs_Emax"
"11/21/2025 20:41:42:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25","26","26","26","27","27","27","28","28","28","29","29","29","30","30","30","31","31","31","32","32","32","33","33","33","34","34","34","35","35","35","36","36","36","37","37","37","38","38","38","39","39","39","40","40","40","41","41","41","42","42","42","43","43","43","44","44","44","45","45","45","46","46","46","47","47","47","48","48","48","49","49","49","50","50","50","51","51","51","52","52","52","53","53","53","54","54","54","55","55","55","56","56","56","57","57","57","58","58","58","59","59","59","60","60","60","61","61","61","62","62","62","63","63","63","64","64","64","65","65","65","66","66","66","67","67","67","68","68","68","69","69","69","70","70","70","71","71","71","72","72","72","73","73","73","74","74","74","75","75","75","76","76","76","77","77","77","78","78","78","79","79","79","80","80","80","81","81","81","82","82","82","83","83","83","84","84","84","85","85","85","86","86","86","87","87","87","88","88","88","89","89","89","90","90","90","91","91","91","92","92","92","93","93","93","94","94","94","95","95","95","96","96","96","97","97","97","98","98","98","99","99","99","100","100","100","101","101","101","102","102","102","103","103","103","104","104","104","105","105","105","106","106","106","107","107","107","108","108","108","109","109","109","110","110","110","111","111","111","112","112","112","113","113","113","114","114","114","115","115","115","116","116","116","117","117","117","118","118","118","119","119","119","120","120","120","121","121","121","122","122","122","123","123","123","124","124","124","125","125","125","126","126","126","127","127","127","128","128","128","129","129","129","130","130","130","131","131","131","132","132","132","133","133","133","134","134","134","135","135","135","136","136","136","137","137","137","138","138","138","139","139","139","140","140","140","141","141","141","142","142","142","143","143","143","144","144","144","145","145","145","146","146","146","147","147","147","148","148","148","149","149","149","150","150","150","151","151","151","152","152","152","153","153","153","154","154","154","155","155","155","156","156","156","157","157","157","158","158","158","159","159","159","160","160","160","161","161","161","162","162","162","163","163","163","164","164","164","165","165","165","166","166","166","167","167","167","168","168","168","169","169","169","170","170","170","171","171","171","172","172","172","173","173","173","174","174","174","175","175","175","176","176","176","177","177","177","178","178","178","179","179","179","180","180","180","181","181","181","182","182","182","183","183","183","184","184","184","185","185","185","186","186","186","187","187","187","188","188","188","189","189","189","190","190","190","191","191","191","192","192","192","193","193","193","194","194","194","195","195","195","196","196","196","197","197","197","198","198","198","199","199","199","200","200","200","201","201","201","202","202","202","203","203","203","204","204","204","205","205","205","206","206","206","207","207","207","208","208","208","209","209","209","210","210","210"
"densidad-pob","60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,
"wiggle","150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,,"150",,
"probabilidad-contagio","0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,,"0.8",,
"tiempo-enfermedad","25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,
"distanciamiento-social","0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"10",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"15",,,"20",,,"20",,,"20",,,"20",,,"20",,,"20",,,"20",,,"20",,,"20",,,"20",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"25",,,"30",,,"30",,,"30",,,"30",,,"30",,,"30",,,"30",,,"30",,,"30",,,"30",,,"35",,,"35",,,"35",,,"35",,,"35",,,"35",,,"35",,,"35",,,"35",,,"35",,,"40",,,"40",,,"40",,,"40",,,"40",,,"40",,,"40",,,"40",,,"40",,,"40",,,"45",,,"45",,,"45",,,"45",,,"45",,,"45",,,"45",,,"45",,,"45",,,"45",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"50",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"55",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"60",,,"65",,,"65",,,"65",,,"65",,,"65",,,"65",,,"65",,,"65",,,"65",,,"65",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"70",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"75",,,"80",,,"80",,,"80",,,"80",,,"80",,,"80",,,"80",,,"80",,,"80",,,"80",,,"85",,,"85",,,"85",,,"85",,,"85",,,"85",,,"85",,,"85",,,"85",,,"85",,,"90",,,"90",,,"90",,,"90",,,"90",,,"90",,,"90",,,"90",,,"90",,,"90",,,"95",,,"95",,,"95",,,"95",,,"95",,,"95",,,"95",,,"95",,,"95",,,"95",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"infectados-iniciales","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"[steps]","60","60","60","55","55","55","64","64","64","57","57","57","54","54","54","61","61","61","57","57","57","58","58","58","58","58","58","60","60","60","57","57","57","63","63","63","64","64","64","61","61","61","57","57","57","65","65","65","57","57","57","58","58","58","64","64","64","58","58","58","64","64","64","59","59","59","58","58","58","64","64","64","65","65","65","64","64","64","60","60","60","60","60","60","63","63","63","64","64","64","65","65","65","67","67","67","64","64","64","63","63","63","54","54","54","53","53","53","66","66","66","53","53","53","62","62","62","64","64","64","61","61","61","60","60","60","63","63","63","63","63","63","66","66","66","60","60","60","67","67","67","64","64","64","58","58","58","60","60","60","61","61","61","63","63","63","63","63","63","70","70","70","63","63","63","63","63","63","59","59","59","61","61","61","66","66","66","58","58","58","56","56","56","63","63","63","60","60","60","68","68","68","65","65","65","60","60","60","58","58","58","63","63","63","66","66","66","62","62","62","67","67","67","62","62","62","56","56","56","65","65","65","61","61","61","62","62","62","61","61","61","61","61","61","73","73","73","62","62","62","66","66","66","68","68","68","70","70","70","65","65","65","65","65","65","61","61","61","68","68","68","69","69","69","68","68","68","56","56","56","63","63","63","68","68","68","66","66","66","66","66","66","57","57","57","65","65","65","60","60","60","66","66","66","68","68","68","70","70","70","69","69","69","75","75","75","61","61","61","72","72","72","68","68","68","68","68","68","64","64","64","62","62","62","66","66","66","68","68","68","67","67","67","66","66","66","71","71","71","68","68","68","70","70","70","68","68","68","70","70","70","70","70","70","64","64","64","66","66","66","67","67","67","67","67","67","69","69","69","67","67","67","64","64","64","71","71","71","74","74","74","71","71","71","64","64","64","66","66","66","60","60","60","66","66","66","66","66","66","69","69","69","73","73","73","75","75","75","67","67","67","68","68","68","74","74","74","68","68","68","72","72","72","69","69","69","78","78","78","69","69","69","76","76","76","71","71","71","71","71","71","74","74","74","74","74","74","66","66","66","75","75","75","72","72","72","81","81","81","69","69","69","72","72","72","74","74","74","77","77","77","66","66","66","79","79","79","76","76","76","76","76","76","77","77","77","77","77","77","77","77","77","77","77","77","75","75","75","77","77","77","75","75","75","74","74","74","80","80","80","74","74","74","77","77","77","79","79","79","67","67","67","78","78","78","78","78","78","76","76","76","84","84","84","77","77","77","82","82","82","98","98","98","83","83","83","76","76","76","75","75","75","93","93","93","85","85","85","77","77","77","76","76","76","79","79","79","88","88","88","102","102","102","102","102","102","88","88","88","85","85","85","94","94","94","90","90","90","84","84","84","93","93","93","86","86","86","92","92","92","94","94","94","110","110","110","86","86","86","95","95","95","96","96","96","101","101","101","90","90","90","101","101","101","102","102","102","89","89","89"

"[initial & final values]","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks","pico-maximo","tiempo-pico","ticks"
